event id,event name,event agency,event type,event borough,event location,event street side,street closure type,community board,police precinct,start_date,start_time,end_date,end_time
680646.0,sss cpe78 fall 23 dec,Parks Department,Special Event,Manhattan,Central Park: Lawn North of Levin Playground,,,"64,","22,",2023-12-21,15:30:00,2023-12-21,17:00:00
631308.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Maria Hernandez Park: Central Plaza/Performance Area ,Maria Hernandez Park: Maria Hernandez Park-Basketball-01",,,"04, 4,","83,",2022-06-03,09:00:00,2022-06-03,14:00:00
626137.0,community food distribution,Parks Department,Special Event,Bronx,Field Of Dreams Park: Field Of Dreams Park,,,"2,","41,",2022-03-10,10:00:00,2022-03-10,15:00:00
742917.0,asian mental health awareness,Parks Department,Special Event,Queens,Pomonok Playground (PS 201): Pomonok Playground,,,"8,","107,",2023-10-29,12:00:00,2023-10-29,15:00:00
794318.0,psal froshsoph city championships,Parks Department,Special Event,Bronx,Van Cortlandt Park: Cross Country Parade Ground Broadway 1,,,"26,","50,",2024-11-02,08:00:00,2024-11-02,13:00:00
729679.0,color run,Parks Department,Special Event,Staten Island,Ocean Breeze Park: Ocean Breeze Cross Country Course,,,"2,","122,",2023-10-14,11:00:00,2023-10-14,14:00:00
696363.0,cm robert holden motown rain date june 20,Parks Department,Special Event,Queens,Juniper Valley Park: Juniper Playground-Softball-08,,,"05,","104,",2023-06-20,19:00:00,2023-06-20,21:00:00
763442.0,miscellaneous,Parks Department,Special Event,Manhattan,"Randall's Island Park: Sunken Meadow Picnic Area Green   ,Randall's Island Park: Sunken Meadow Fields-Softball-17 ,Randall's Island Park: Sunken Meadow Fields-Softball-18",,,"11,","25,",2024-06-18,08:00:00,2024-06-18,14:00:00
634617.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Canarsie Park: Baseball-01 ,Canarsie Park: Softball-02",,,"18,","69,",2022-06-03,09:00:00,2022-06-03,14:00:00
743992.0,big apple circus,Parks Department,Special Event,Manhattan,"Damrosch Park: Bandshell ,Damrosch Park: Tent Area",,,"7,","20,",2024-01-27,00:00:00,2024-01-27,23:59:00
699609.0,spring fling festival,Parks Department,Special Event,Manhattan,"Bella Abzug Park : Block 1 (between 33rd street & 34th street) ,Bella Abzug Park : Block 2 (between 34th street & 35th street)",,,"4,","10,",2023-06-17,14:00:00,2023-06-17,20:00:00
734482.0,bike safety class - vcp - september,Parks Department,Special Event,Bronx,Van Cortlandt Park: Southwest MPPA,,,"26,","50,",2023-09-29,10:00:00,2023-09-29,17:00:00
739185.0,sri chinmoy tranksgving day 5k10,Parks Department,Special Event,Queens,Flushing Meadows Corona Park: Ederle Terrace,,,"81,","110,",2024-11-28,08:00:00,2024-11-28,11:00:00
752598.0,miscellaneous,Parks Department,Special Event,Queens,"Alley Pond Park: Upper Alley BBQ Area Orange   ,Alley Pond Park: Upper Alley BBQ Area Yellow ,Alley Pond Park: Upper Alley BBQ Area Green",,,"11,","111,",2024-06-12,09:00:00,2024-06-12,13:00:00
810277.0,rosary crusade,Parks Department,Special Event,Queens,Sohncke Square: Sohncke Square,,,"2,","108,",2024-10-12,12:00:00,2024-10-12,14:00:00
593414.0,daca is not enough- citizenship for all,Parks Department,Special Event,Manhattan,Thomas Paine Park (Foley Square): Thomas Paine Park (Foley Square) ,,,"1, ","5, ",2021-08-17,14:00:00,2021-08-17,17:00:00
745011.0,prospect park fall foliage bike ride,Parks Department,Special Event,Brooklyn,Prospect Park: Park Circle / Machete Circle,,,"7,","72,",2023-11-11,11:00:00,2023-11-11,14:00:00
635814.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Betsy Head Park: Baseball-01 ,Betsy Head Park: Softball-02",,,"16,","73,",2022-06-01,09:00:00,2022-06-01,14:00:00
568180.0,miscellaneous,Parks Department,Special Event,Manhattan,Central Park: East Meadow Clay Area ,,,"64, ","22, ",2021-08-20,13:00:00,2021-08-20,16:00:00
610515.0,classical theater production and reahearsals,Parks Department,Special Event,Manhattan,Riverside Park: Soliders & Sailors North Overlook,,,"7,","24,",2022-07-30,17:00:00,2022-07-30,21:00:00
589374.0,pershing square summer sounds,Street Activity Permit Office,Plaza Event,Manhattan,Pershing Square Plaza: Pershing Square Plaza PARK AVENUE between EAST   41 STREET and EAST   42 STREET,Full,Pedestrian Plaza ,"5, ","14, ",2021-08-31,12:00:00,2021-08-31,15:00:00
550728.0,sss cpw94 spring 21 june,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A ,,,"64, ","22, ",2021-06-30,13:30:00,2021-06-30,17:30:00
631912.0,uft disaster relief 5k family run-walk,Parks Department,Special Event,Brooklyn,Coney Island Beach & Boardwalk: W 30th St - W 37th St,,,"13,","60,",2022-05-14,11:00:00,2022-05-14,13:30:00
711985.0,fun day at the play ground,Parks Department,Special Event,Brooklyn,Canarsie Park: East 84th Picnic Area (No BBQ),,,"18,","69,",2023-08-12,10:00:00,2023-08-12,19:00:00
802967.0,cyclocross practice 2024,Parks Department,Special Event,Manhattan,"Randall's Island Park: Wards Meadow Picnic Area Blue ,Randall's Island Park: Wards Meadow Picnic Area Green ,Randall's Island Park: Wards Meadow Picnic Area Orange",,,"11,","25,",2024-11-06,19:00:00,2024-11-06,21:00:00
648958.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Rainbow Playground: Rainbow Playground ,Rainbow Playground: Basketball-01",,,"07, 7,","72,",2022-08-19,09:00:00,2022-08-19,18:00:00
717809.0,family yoga,Parks Department,Special Event,Brooklyn,Asser Levy Park: Lawn,,,"13,","60,",2023-08-06,10:00:00,2023-08-06,11:00:00
609227.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Friends Field: Softball-01 ,Friends Field: Softball-02",,,"12,","66,",2022-05-19,09:00:00,2022-05-19,14:00:00
764512.0,paramount movie nights in brooklyn,Parks Department,Special Event,Brooklyn,Prospect Park: Long Meadow North,,,"55,","78,",2024-07-03,20:00:00,2024-07-03,23:59:00
673842.0,big apple circus,Parks Department,Special Event,Manhattan,"Damrosch Park: Damrosch Park ,Damrosch Park: Sidewalks",,,"7,","20,",2023-01-11,00:00:00,2023-01-11,23:59:00
612905.0,sss app-psk spr22wkd apr,Parks Department,Special Event,Queens,Alley Pond Park: Alley Springfield BBQ Area Blue,,,"11,","111,",2022-04-30,09:00:00,2022-04-30,12:00:00
545845.0,miscellaneous,Parks Department,Special Event,Manhattan,Asser Levy Playground: Basketball-01 ,,,"06, ","13, ",2021-06-24,08:00:00,2021-06-24,11:00:00
741267.0,seeds to trees bsnbcs field experience at prospect park,Parks Department,Special Event,Brooklyn,Prospect Park: Carousel Lawn North,,,"55,","78,",2023-10-19,10:00:00,2023-10-19,13:00:00
546243.0,miscellaneous,Parks Department,Special Event,Manhattan,Riverside Park South: 66th Street Plaza ,,,"7, ","20, ",2021-06-24,10:00:00,2021-06-24,12:00:00
709078.0,kks day,Parks Department,Special Event,Queens,Highland Park: Lower Lawn Area (Picnic Only NO BBQ),,,"5,","75,",2023-06-24,11:00:00,2023-06-24,18:00:00
594806.0,weekend ad. - wilderness survival skills: fire making,Parks Department,Special Event,Staten Island,Willowbrook Park: BBQ Area 6,,,"2,","122,",2021-09-18,11:00:00,2021-09-18,12:30:00
546248.0,miscellaneous,Parks Department,Special Event,Manhattan,Baruch Playground: Softball-01 ,,,"03, ","7, ",2021-06-23,08:00:00,2021-06-23,12:00:00
577094.0,brooklyn dominican parade and festival inc,Police Department,Parade,Brooklyn," GRAHAM AVENUE between METROPOLITAN AVENUE and DEVOE STREET,  GRAHAM AVENUE between DEVOE STREET and DEBEVOISE STREET,  GRAHAM AVENUE between DEBEVOISE STREET and BROADWAY",Full,Full Street Closure ,"1, ","90, 94, ",2021-08-29,14:00:00,2021-08-29,16:00:00
773967.0,pa' la calle wednesdays with somos latin dance,Parks Department,Special Event,Manhattan,Bella Abzug Park : Block 3 (between 35th street & 36th street),,,"4,","10,",2024-08-28,16:00:00,2024-08-28,20:00:00
629344.0,easter morning worship service,Parks Department,Special Event,Queens,Francis Lewis Park: Francis Lewis Park,,,"7,","109,",2022-04-17,08:00:00,2022-04-17,09:00:00
764274.0,miscellaneous,Parks Department,Special Event,Brooklyn,Washington Park (MS 51): Soccer-01B,,,"06,","78,",2024-07-23,09:30:00,2024-07-23,14:00:00
514722.0,hudson warehouse,Parks Department,Special Event,Manhattan,Riverside Park: Soliders & Sailors North Overlook ,,,"7, ","24, ",2021-08-22,17:00:00,2021-08-22,20:00:00
672971.0,mindfulness workshop,Parks Department,Special Event,Staten Island,Silver Lake Park: Silver Lake Park-Softball-01,,,"01,","120,",2022-10-09,11:00:00,2022-10-09,13:00:00
706991.0,christian concert,Parks Department,Special Event,Brooklyn,Bensonhurst Park: Lawn Area,,,"11,","62,",2023-07-23,12:30:00,2023-07-23,16:30:00
740008.0,miscellaneous,Parks Department,Special Event,Queens,"Juniper Valley Park: Baseball-01   ,Juniper Valley Park: Softball-04",,,"05,","104,",2024-06-11,08:00:00,2024-06-11,15:00:00
782488.0,miscellaneous,Parks Department,Special Event,Brooklyn,John Allen Payne Park: Playground,,,"7,","72,",2024-08-16,08:00:00,2024-08-16,18:00:00
617317.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Manhattan Beach Park: Softball-01 ,Manhattan Beach Park: Picnic Area 01",,,"15,","61,",2022-05-10,10:00:00,2022-05-10,14:00:00
769720.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Mckinley Park: Lawn Area West   ,Mckinley Park: Basketball-01",,,"10,","68,",2024-08-16,08:45:00,2024-08-16,11:45:00
686439.0,the brooklyn cyclones coney island classic 5k,Parks Department,Special Event,Brooklyn,Coney Island Beach & Boardwalk: W 19 St Performance Area,,,"13,","60,",2023-06-25,09:00:00,2023-06-25,13:00:00
514787.0,summerstage festival - june,Parks Department,Special Event,Manhattan,"Central Park: Rumsey Playfield ,Central Park: Bandshell Plaza ",,,"64, ","22, ",2021-06-30,17:00:00,2021-06-30,22:00:00
747779.0,sugar hill salon park concert 3 2024,Parks Department,Special Event,Manhattan,Jackie Robinson Park: Bandshell,,,"10,","30,",2024-07-26,15:00:00,2024-07-26,20:00:00
705676.0,storytime in the park - june,Parks Department,Special Event,Manhattan,Marcus Garvey Park: Marcus Garvey Park,,,"11,","25,",2023-06-30,10:15:00,2023-06-30,11:00:00
796615.0,meet the pollinators,Parks Department,Special Event,Manhattan,Sherman Creek: Riley - Levin Children's Garden,,,"12,","34,",2024-08-17,12:00:00,2024-08-17,15:00:00
782420.0,storytime at cadman plaza park,Parks Department,Special Event,Brooklyn,Cadman Plaza Park: Tillary Street Plaza,,,"2,","84,",2024-09-04,10:00:00,2024-09-04,12:00:00
545882.0,miscellaneous,Parks Department,Special Event,Manhattan,Abe Lebewohl Triangle: Sitting Area ,,,"3, ","9, ",2021-06-23,09:00:00,2021-06-23,13:00:00
759585.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Marine Park: Softball-09   ,Marine Park: Softball-10 ,Marine Park: Softball-11 ,Marine Park: Softball-12 ,Marine Park: Softball-13",,,"18,","63,",2024-05-30,09:00:00,2024-05-30,14:00:00
572200.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Bush Terminal Park: Baseball-01 ,Bush Terminal Park: Picnic Area North ",,,"07, 7, ","72, ",2021-08-20,09:30:00,2021-08-20,17:00:00
569076.0,yoga on the beach with sonia,Parks Department,Special Event,Queens,Rockaway Beach and Boardwalk: Beach 32nd Street ,,,"14, ","101, ",2021-07-31,10:00:00,2021-07-31,11:00:00
782490.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Rainbow Playground: Playground   ,Rainbow Playground: Basketball-01",,,"07, 7,","72,",2024-08-16,08:00:00,2024-08-16,18:00:00
676882.0,2022.12.03 conference house park tree and shrub planting,Parks Department,Special Event,Staten Island,Conference House Park: Conference House Park,,,"3,","123,",2022-12-03,10:00:00,2022-12-03,13:00:00
738609.0,summer on the hudson horticulture tour,Parks Department,Special Event,Manhattan,Riverside Park: Volunteer House-RSP,,,"7,","24,",2024-09-28,10:00:00,2024-09-28,11:30:00
765566.0,the andrew j. cassius memorial beach volleyball tournament,Parks Department,Special Event,Brooklyn,Coney Island Beach & Boardwalk: Bays 1-5 (Brighton 2nd St. to Brighton 15th  Street),,,"13,","60,",2024-08-17,08:00:00,2024-08-17,19:00:00
577687.0,citywide seasonal hires training,Parks Department,Special Event,Queens,"Flushing Meadows Corona Park: Flushing Meadows Corona Park ,Flushing Meadows Corona Park: Soccer-08 ,Flushing Meadows Corona Park: Soccer-09 ",,,"07, 3, 4, 6, 7, 8, ","109, 110, ",2021-05-18,09:00:00,2021-05-18,14:30:00
679896.0,summer on the hudson amplified sundays,Parks Department,Special Event,Manhattan,Riverside Park South: 70th Street Pier Plaza,,,"7,","20,",2023-07-30,19:00:00,2023-07-30,21:00:00
617490.0,sss jvp-psk spr22wkd apr,Parks Department,Special Event,Queens,Juniper Valley Park: Juniper Valley Park,,,"5,","104,",2022-04-30,09:00:00,2022-04-30,11:00:00
641191.0,dj performance,Parks Department,Special Event,Brooklyn,Classon Playground: Recreation Area-Playground,,,"1,","90,",2022-08-28,15:00:00,2022-08-28,19:00:00
652260.0,fred wilson sculpture unveiling,Parks Department,Special Event,Brooklyn,Columbus Park: North Plaza (Tillary),,,"2,","84,",2022-06-21,18:00:00,2022-06-21,19:30:00
611658.0,greenbelt summer camp,Parks Department,Special Event,Staten Island,"Blood Root Valley: Greenbelt Recreation Center-Soccer-01 ,Blood Root Valley: Greenbelt Recreation Center-Basketball-01 ,Blood Root Valley: Greenbelt Recreation Center-Basketball-02",,,"02,","122,",2022-08-18,09:00:00,2022-08-18,17:00:00
683879.0,miscellaneous,Parks Department,Special Event,Queens,Vito Locascio Field / Loring Field: Vito Locascio Field (Loring),,,"10,","106,",2023-05-11,08:30:00,2023-05-11,13:00:00
681227.0,sss cpw94 sum 23 august,Parks Department,Special Event,Manhattan,Central Park: North Reservoir Landscape A,,,"64,","22,",2023-08-31,09:00:00,2023-08-31,13:00:00
676000.0,sar guardian reception dinner,Street Activity Permit Office,Production Event,Manhattan,DYCKMAN STREET between STAFF STREET and DEAD END,South,Curb Lane Only,"12,","34,",2022-10-27,09:00:00,2022-10-27,23:00:00
637020.0,storytime in the nature,Parks Department,Special Event,Brooklyn,Brower Park (PS 289 - Playground Only): Lawn Area,,,"8,","77,",2022-05-11,10:30:00,2022-05-11,12:30:00
721613.0,pccs field day,Parks Department,Special Event,Staten Island,"Franklin D Roosevelt Boardwalk and Beach: BBQ Area 5 Midland ,Franklin D Roosevelt Boardwalk and Beach: Midland Beach-Softball-08",,,"95,","122,",2023-06-29,12:00:00,2023-06-29,16:00:00
629520.0,miscellaneous,Parks Department,Special Event,Manhattan,Randall's Island Park: Wards Meadow Fields-Soccer-74,,,"11,","25,",2022-05-19,10:00:00,2022-05-19,13:00:00
550171.0,philuponcandy,Parks Department,Special Event,Manhattan,Central Park: Cop Cot ,,,"64, ","22, ",2021-08-01,14:00:00,2021-08-01,16:00:00
734469.0,bike safety class - crotona - september,Parks Department,Special Event,Bronx,Crotona Park: Crotona Park,,,"3,","42,",2023-09-17,10:00:00,2023-09-17,16:00:00
681018.0,richard iii,Parks Department,Special Event,Manhattan,Central Park: The Pool Lawns,,,"64,","22,",2023-05-31,10:00:00,2023-05-31,17:00:00
631290.0,miscellaneous,Parks Department,Special Event,Queens,Cunningham Park: Picnic Pink 2,,,"8,","107,",2022-06-15,09:00:00,2022-06-15,13:00:00
798386.0,summer camp swimming at lyons pool,Parks Department,Special Event,Staten Island,Lyons Pool: Pool2,,,"1,","120,",2024-08-23,11:00:00,2024-08-23,13:00:00
635924.0,miscellaneous,Parks Department,Special Event,Queens,Cunningham Park: Picnic Yellow 1,,,"8,","107,",2022-05-26,09:30:00,2022-05-26,13:00:00
788526.0,wellcome care health fair,Parks Department,Special Event,Queens,Bayswater Park: Performance Space,,,"14,","101,",2024-08-17,10:00:00,2024-08-17,16:00:00
586104.0,copa cabrini and instituto atletico morelia,Parks Department,Special Event,Manhattan,"Randall's Island Park: East River Fields-Soccer-81 ,Randall's Island Park: East River Fields-Soccer-80 ,Randall's Island Park: Wards Meadow Fields-Soccer-71 ",,,"11, ","25, ",2021-08-22,10:00:00,2021-08-22,18:00:00
620192.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Sunset Park: Soccer-01A ,Sunset Park: Soccer-01B ,Sunset Park: Center Lawn",,,"07, 7,","72,",2022-03-30,09:00:00,2022-03-30,14:00:00
809827.0,bowne park tai chi,Parks Department,Special Event,Queens,Bowne Park: Bowne Park,,,"7,","109,",2024-09-30,08:00:00,2024-09-30,10:15:00
659201.0,mta queens bus network redesign outdoor public outreach,Parks Department,Special Event,Queens,Forest Park: Forest Park,,,"5, 6, 9,","75,",2022-08-16,15:00:00,2022-08-16,19:00:00
740014.0,miscellaneous,Parks Department,Special Event,Queens,"Juniper Valley Park: Baseball-01   ,Juniper Valley Park: Softball-03",,,"05,","104,",2024-06-12,09:00:00,2024-06-12,15:00:00
666582.0,october 2022 adoption drive--every saturday in october,Parks Department,Special Event,Manhattan,Union Square Park: Southwest Corner,,,"5,","13,",2022-10-29,10:00:00,2022-10-29,19:00:00
593348.0,family fun day- school supply drive,Parks Department,Special Event,Brooklyn,Canarsie Park: Performance Area (No Amplified Sound NO BBQ)  ,,,"18, ","69, ",2021-08-14,12:00:00,2021-08-14,17:00:00
712240.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Sunset Park: Center Lawn ,Sunset Park: Softball-01",,,"07, 7,","72,",2023-08-14,09:00:00,2023-08-14,17:00:00
680186.0,al goldstein speed series,Parks Department,Special Event,Brooklyn,"Prospect Park: LeFrak Center at Lakeside ,Prospect Park: Park Drive - WHOLE DRIVE",,,"55,","78,",2023-08-16,19:00:00,2023-08-16,20:00:00
680268.0,classical concert,Parks Department,Special Event,Manhattan,Central Park: Bandshell Plaza,,,"64,","22,",2023-03-31,15:00:00,2023-03-31,19:00:00
678810.0,nyrr open run flushing meadows corona park,Parks Department,Special Event,Queens,Flushing Meadows Corona Park: Zoo Large Event Area,,,"81,","110,",2022-12-29,19:00:00,2022-12-29,20:00:00
673842.0,big apple circus,Parks Department,Special Event,Manhattan,"Damrosch Park: Damrosch Park ,Damrosch Park: Sidewalks",,,"7,","20,",2023-01-11,00:00:00,2023-01-11,23:59:00
545878.0,miscellaneous,Parks Department,Special Event,Manhattan,Riverside Park: Playground-River Run-RSP ,,,"7, ","20, ",2021-06-23,08:00:00,2021-06-23,12:00:00
700649.0,kingman classic,Parks Department,Special Event,Manhattan,Central Park: Bowling Green Lawn,,,"64,","22,",2023-10-01,09:00:00,2023-10-01,17:00:00
609843.0,sss cpe97 fall 22 nov,Parks Department,Special Event,Manhattan,Central Park: West 96th Street Landscape,,,"64,","22,",2022-11-30,13:30:00,2022-11-30,17:30:00
718438.0,kips bay boys and girls basketball clinics,Parks Department,Special Event,Bronx,"Ferry Point Park: Playground  (126-04A) ,Ferry Point Park: Basketball-01",,,"10,","45,",2023-09-30,10:00:00,2023-09-30,17:00:00
777632.0,miscellaneous,Parks Department,Special Event,Queens,Ampere Playground: Ampere Playground,,,"9,","102,",2024-06-20,09:00:00,2024-06-20,11:00:00
797829.0,bike safety class - mccarren - august,Parks Department,Special Event,Brooklyn,McCarren Park: Bayard/Union Lawns,,,"1,","94,",2024-08-22,09:00:00,2024-08-22,18:00:00
729395.0,hooping for peace and equality,Parks Department,Special Event,Queens,"Cambria Playground/Cabbell Park: Cambria Playground (Frederick Cabbell Park) ,Cambria Playground/Cabbell Park: Basketball-01 ,Cambria Playground/Cabbell Park: Basketball-02",,,"13,","105,",2023-09-10,10:00:00,2023-09-10,18:00:00
751860.0,religious event - aug 3 - aug 5 - aug 15 - aug 24,Parks Department,Special Event,Queens,Flushing Meadows Corona Park: Vatican Pavillion,,,"81,","110,",2024-08-24,16:30:00,2024-08-24,23:30:00
808976.0,alphasense park pitch in,Parks Department,Special Event,Manhattan,Washington Square Park: Washington Square Park,,,"2,","6,",2024-10-25,09:00:00,2024-10-25,12:00:00
743899.0,bailey park,Parks Department,Special Event,Bronx,Bailey Playground: Bailey Playground,,,"8,","50,",2024-06-16,09:00:00,2024-06-16,19:00:00
760283.0,2024 ny art book fair,Street Activity Permit Office,Production Event,Manhattan,WEST   22 STREET between 11 AVENUE and 10 AVENUE,South,Sidewalk and Curb Lane Closure,"4,","10,",2024-04-26,07:30:00,2024-04-26,22:00:00
546248.0,miscellaneous,Parks Department,Special Event,Manhattan,Baruch Playground: Softball-01 ,,,"03, ","7, ",2021-06-23,08:00:00,2021-06-23,12:00:00
616668.0,cityparks tennis - pelham bay park renewal,Parks Department,Special Event,Bronx,"Pelham Bay Park: Tennis-01 South ,Pelham Bay Park: Tennis-02 South ,Pelham Bay Park: Tennis-03 South",,,"28,","45,",2022-08-18,13:00:00,2022-08-18,16:00:00
633473.0,seeds to trees ps84 field experience at prospect park,Parks Department,Special Event,Brooklyn,Prospect Park: Lakeshore,,,"55,","78,",2022-05-13,10:00:00,2022-05-13,13:00:00
753124.0,miscellaneous,Parks Department,Special Event,Queens,"Alley Pond Park: Alley Springfield BBQ Area Purple   ,Alley Pond Park: Alley Springfield BBQ Area Pink",,,"11,","111,",2024-05-23,10:00:00,2024-05-23,13:00:00
694734.0,miscellaneous,Parks Department,Special Event,Queens,Playground Twenty One: Playground Twenty One,,,"7,","109,",2023-06-02,07:30:00,2023-06-02,14:30:00
551009.0,sss cpe97c fall21 oct,Parks Department,Special Event,Manhattan,Central Park: East Meadow Clay Area,,,"64,","22,",2021-10-29,13:30:00,2021-10-29,17:30:00
697942.0,crates in the park dj performance,Parks Department,Special Event,Brooklyn,"Commodore Barry Park: Performance Space ,Commodore Barry Park: Lawn/Sitting Area",,,"2,","88,",2023-10-01,13:00:00,2023-10-01,17:00:00
730731.0,storytime with bpl,Parks Department,Special Event,Brooklyn,Cadman Plaza Park: Tillary Street Plaza,,,"2,","84,",2023-09-20,10:00:00,2023-09-20,12:00:00
751099.0,miscellaneous,Parks Department,Special Event,Queens,Vito Locascio Field / Loring Field: Vito Locascio Field (Loring),,,"10,","106,",2024-05-23,09:00:00,2024-05-23,13:30:00
597739.0,fx impeachment: american crime story activation,Parks Department,Special Event,Manhattan,The High Line: 14th Street Passage,,,"2,","6,",2021-09-07,07:00:00,2021-09-07,09:00:00
584225.0,summer school field day,Parks Department,Special Event,Bronx,"Williamsbridge Oval: Scenic Tables ,Williamsbridge Oval: Plgd w/ Mini Pool & Courts-Basketball-01 ",,,"07, 7, ","52, ",2021-08-04,13:00:00,2021-08-04,15:00:00
740548.0,sss app-psk fall23 wknd oct,Parks Department,Special Event,Queens,Alley Pond Park: Parking Lot 01 - Springfield,,,"11,","111,",2023-10-29,09:00:00,2023-10-29,11:00:00
620055.0,polish constitution day run,Parks Department,Special Event,Queens,Forest Park: Trails Orange,,,"82,","102,",2022-05-01,09:00:00,2022-05-01,12:00:00
678765.0,electrical menorah display cadman,Parks Department,Special Event,Brooklyn,Cadman Plaza Park: Cadman Plaza Park,,,"2,","84,",2022-12-29,09:00:00,2022-12-29,16:00:00
562269.0,welcoming baby vincent jeremiah iii baby shower,Parks Department,Special Event,Staten Island,Franklin D Roosevelt Boardwalk and Beach: BBQ Area 1 Midland ,,,"95, ","122, ",2021-05-22,16:00:00,2021-05-22,20:00:00
659768.0,la naval de manila procession,Police Department,Parade,Queens,"138-65 BARCLAY AVENUE, BARCLAY AVENUE between UNION STREET and 147 STREET,  147 STREET between BARCLAY AVENUE and 41 AVENUE,  41 AVENUE between 147 STREET and UNION STREET,  UNION STREET between 41 AVENUE and BARCLAY AVENUE",,Full Street Closure,"7,","109,",2022-10-02,14:30:00,2022-10-02,15:30:00
601630.0,outdoor gym for hyde leadership,Parks Department,Special Event,Bronx,Riverdale Park: Riverdale Park,,,"8,","50,",2021-12-23,08:00:00,2021-12-23,14:00:00
804035.0,dia de los muertos,Parks Department,Special Event,Manhattan,Father Duffy Square: Father Duffy Square,,,"5,","18,",2024-11-02,11:00:00,2024-11-02,21:00:00
609201.0,miscellaneous,Parks Department,Special Event,Brooklyn,"Lincoln Terrace / (Arthur S. Somers Park): Baseball-01 ,Lincoln Terrace / (Arthur S. Somers Park): Central Lawn",,,"08, 8,","77,",2022-05-19,09:00:00,2022-05-19,14:00:00
708525.0,congrats grad,Parks Department,Special Event,Brooklyn,Prospect Park: 15th Street Lawn North,,,"55,","78,",2023-06-24,13:00:00,2023-06-24,19:00:00
745219.0,santa's knights and gladiators nyc,Parks Department,Special Event,Manhattan,Central Park: Lawn Behind the Met Museum,,,"64,","22,",2024-08-10,12:00:00,2024-08-10,16:00:00
761804.0,feeling outdoor art gallery,Parks Department,Special Event,Manhattan,Washington Square Park: Garibaldi Plaza,,,"2,","6,",2024-08-26,12:00:00,2024-08-26,17:00:00
569086.0,nyrr open highland park,Parks Department,Special Event,Queens,Highland Park: Reservoir Path ,,,"5, ","104, ",2021-05-29,09:00:00,2021-05-29,10:00:00
676345.0,parade,Parks Department,Special Event,Manhattan,Dag Hammarskjold Plaza: First Avenue Plaza,,,"6,","17,",2022-10-28,11:00:00,2022-10-28,17:00:00
546182.0,miscellaneous,Parks Department,Special Event,Manhattan,Sidney Hillman Playground: Basketball-01 ,,,"03, ","7, ",2021-06-23,08:00:00,2021-06-23,12:00:00
784073.0,community rowing and sailing,Parks Department,Special Event,Bronx,Hunts Point Riverside Park: Hunts Point Riverside Park,,,"2,","41,",2024-08-31,11:00:00,2024-08-31,17:00:00
